,Longitude,Latitude,line,station,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
228,2.217105,41.414575,METRO (L4),BESÒS MAR/METRO (L4),0,Restaurant,Coffe Shop,Hotel,Clothing Store,Diner,Breakfast Spot,Big Box Store,Hotel Bar,Donut Shop,Sporting Goods Shop
246,2.149572,41.40611,METRO (L3),LESSEPS/METRO (L3),1,Italian Restaurant,Pizza Place,Hotel,Restaurant,Deli / Bodega,Plaza,Gastropub,Bakery,Bar,Wine Bar
252,2.2149520000000003,41.41033,TRAMVIA (T4),DIAGONAL MAR/TRAMVIA (T4),1,Coffe Shop,Hotel,Clothing Store,Restaurant,Italian Restaurant,Diner,Tapas Restaurant,Burger Joint,Fried Chicken Joint,Juice Bar
253,2.204513,41.416358,"TRAMVIA (T5, T6)","SANT MARTÍ DE PROVENÇALS/TRAMVIA (T5, T6)",9,Soccer Field,Coffe Shop,Tapas Restaurant,Grocery Store,Bakery,Pizza Place,Tennis Court,Pedestrian Plaza,Pawn Shop,Farmers Market
254,2.187919,41.373235,Transbordador del Port,Sant Sebastià/Transbordador del Port,7,Clothing Store,Beach,Mediterranean Restaurant,Paella Restaurant,Bar,Coffe Shop,Tapas Restaurant,Beach Bar,Board Shop,Fast Food Restaurant
255,2.1725,41.371019,Transbordador del Port,Miramar/Transbordador del Port,2,Hotel,Hostel,Restaurant,Tapas Restaurant,Plaza,Park,Nightclub,Bar,Scenic Lookout,Sandwich Place
264,2.165196,41.441671,METRO (L3),CANYELLES/METRO (L3),4,Market,Soccer Field,Plaza,Food & Drink Shop,Hot Spring,Park,Grocery Store,Mediterranean Restaurant,Tapas Restaurant,Coffe Shop
265,2.136412,41.390505,"TRAMVIA (T1,T2,T3)","L'ILLA/TRAMVIA (T1,T2,T3)",0,Restaurant,Coffe Shop,Hotel,Clothing Store,Sporting Goods Shop,Sandwich Place,Park,Wine Shop,Cocktail Bar,Italian Restaurant
266,2.188338,41.390398,TRAMVIA (T4),WELLINGTON/TRAMVIA (T4),1,Coffe Shop,Restaurant,Supermarket,Burger Joint,Pizza Place,Bakery,Mediterranean Restaurant,Park,Gym,Hostel
271,2.1456060000000003,41.384454,METRO (L5),ENTENÇA/METRO (L5),1,Restaurant,Coffe Shop,Hotel,Mediterranean Restaurant,Grocery Store,Supermarket,Mexican Restaurant,Breakfast Spot,Japanese Restaurant,Gym
273,2.181742,41.415335,METRO (L5),CAMP DE L'ARPA/METRO (L5),9,Restaurant,Grocery Store,Supermarket,Bakery,Tapas Restaurant,Mediterranean Restaurant,Hotel,Pharmacy,Mexican Restaurant,Middle Eastern Restaurant
