,station,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
84,GOYA/2,Restaurant,Tapas Restaurant,Coffe Shop,Burger Joint,Seafood Restaurant,Ice Cream Shop,Mediterranean Restaurant,Steakhouse,Gymnastics Gym,Thai Restaurant
85,GRAN VIA/1,Hotel,Restaurant,Coffe Shop,Plaza,Gourmet Shop,Clothing Store,Sporting Goods Shop,Bookstore,Tapas Restaurant,Bar
86,GREGORIO MARAÑON/10A,Restaurant,Bar,Hotel,Coffe Shop,Japanese Restaurant,Sushi Restaurant,Burger Joint,Tapas Restaurant,Lounge,Chinese Restaurant
87,GUZMAN EL BUENO/6,Restaurant,Bar,Tapas Restaurant,Park,Hotel,Fish Market,Soccer Field,Lounge,Bakery,Plaza
88,HERRERA ORIA/9A,Bar,Hotel,Food & Drink Shop,Beer Garden,Electronics Store,Sushi Restaurant,Gym Pool,Mediterranean Restaurant,Bakery,Sculpture Garden
89,HORTALEZA/4,Restaurant,Pool,Supermarket,Park,Smoke Shop,Pharmacy,Soccer Field,Pub,Mediterranean Restaurant,Food Truck
90,HOSPITAL 12 DE OCTUBRE/3,Restaurant,Coffe Shop,Fast Food Restaurant,Office,Farmers Market,Shopping Mall,Pharmacy,Clothing Store,Sandwich Place,Falafel Restaurant
91,IBIZA/9A,Restaurant,Tapas Restaurant,Coffe Shop,Seafood Restaurant,Mediterranean Restaurant,Gastropub,Bakery,Ice Cream Shop,Asian Restaurant,Harbor / Marina
92,IGLESIA/1,Restaurant,Tapas Restaurant,Coffe Shop,Italian Restaurant,Bar,Bakery,Mexican Restaurant,Plaza,Japanese Restaurant,Burger Joint
93,ISLAS FILIPINAS/7A,Restaurant,Bar,Coffe Shop,Bakery,Beer Garden,Pub,Seafood Restaurant,Pizza Place,Burrito Place,Sports Bar
94,LA ALMUDENA/2,Park,Shopping Mall,Bar,Tapas Restaurant,Food & Drink Shop,Supermarket,Building,Paper / Office Supplies Store,Tennis Court,General Entertainment
95,LA ELIPA/2,Restaurant,Bar,Coffe Shop,Falafel Restaurant,Grocery Store,Soccer Field,Bakery,Wine Shop,Miscellaneous Shop,Building
96,LA GAVIA/1,Restaurant,Grocery Store,Pharmacy,Sushi Restaurant,Supermarket,Skate Park,Asian Restaurant,German Restaurant,Miscellaneous Shop,Building
97,LA LATINA/5,Restaurant,Tapas Restaurant,Plaza,Coffe Shop,Bar,Hotel,Hostel,Bistro,Vegetarian / Vegan Restaurant,Pizza Place
98,LA PESETA/11,Bar,Restaurant,Music School,Pizza Place,Candy Store,Italian Restaurant,Park,Bakery,Steakhouse,Gym Pool
99,LACOMA/7A,Bar,Tapas Restaurant,Chinese Restaurant,Bakery,Restaurant,Park,BBQ Joint,Argentinian Restaurant,Brewery,Pub
100,LAGO/10A,Restaurant,Pool,Mediterranean Restaurant,Stadium,Lake,Paella Restaurant,Arts & Entertainment,Non-Profit,Farmers Market,Beer Garden
101,LAGUNA/6,Asian Restaurant,Pizza Place,Plaza,Lake,Park,Tapas Restaurant,Bar,Tea Room,German Restaurant,Kebab Restaurant
102,LAS MUSAS/7A,Fast Food Restaurant,Seafood Restaurant,Coffe Shop,Grocery Store,Pizza Place,Plaza,Park,Bakery,Pet Store,Miscellaneous Shop
103,LAS ROSAS/2,Restaurant,Tapas Restaurant,Grocery Store,Mediterranean Restaurant,Gym,Pizza Place,Liquor Store,Playground,Seafood Restaurant,Kebab Restaurant
104,LAS SUERTES/1,Park,Restaurant,Pizza Place,Skate Park,Sushi Restaurant,Supermarket,Clothing Store,Tapas Restaurant,Coffe Shop,Boutique
105,LAS TABLAS/10B,Restaurant,Burger Joint,Coffe Shop,Playground,Pizza Place,Pharmacy,Gymnastics Gym,Nightclub,Spa,Thai Restaurant
106,LAVAPIES/3,Bar,Restaurant,Coffe Shop,Tapas Restaurant,Theater,Pizza Place,Art Gallery,Plaza,Market,Breakfast Spot
107,LEGAZPI/3,Restaurant,Bar,Plaza,Coffe Shop,Tapas Restaurant,Park,Grocery Store,Farmers Market,Supermarket,Beer Garden
108,LISTA/4,Restaurant,Bar,Burger Joint,Seafood Restaurant,Gym,Mediterranean Restaurant,Bakery,Clothing Store,Mexican Restaurant,Supermarket
109,LUCERO/6,Pizza Place,Asian Restaurant,Snack Place,Bar,Grocery Store,Gym,Supermarket,Falafel Restaurant,Park,Sandwich Place
110,MANOTERAS/4,Grocery Store,Restaurant,Gym,Food Truck,Diner,Music School,Food,Pet Store,Bakery,Park
111,MANUEL BECERRA/2,Restaurant,Seafood Restaurant,Tapas Restaurant,Bakery,Japanese Restaurant,Gym,Supermarket,Cupcake Shop,Miscellaneous Shop,Mexican Restaurant
112,MAR DE CRISTAL/4,Restaurant,Shopping Mall,Pizza Place,Donut Shop,Pharmacy,Big Box Store,Clothing Store,Sandwich Place,Pub,Breakfast Spot
113,MARQUES DE VADILLO/5,Tapas Restaurant,Coffe Shop,Bar,Supermarket,Plaza,Park,Restaurant,Seafood Restaurant,Bridge,Playground
114,MENDEZ ALVARO/6,Coffe Shop,Restaurant,Italian Restaurant,Argentinian Restaurant,Mediterranean Restaurant,Cafeteria,Beer Garden,Department Store,Convenience Store,Asian Restaurant
115,MENENDEZ PELAYO/1,Restaurant,Bar,Coffe Shop,Museum,Hotel,Ice Cream Shop,Athletics & Sports,Italian Restaurant,Art Gallery,Bakery
116,METROPOLITANO/6,Restaurant,Tapas Restaurant,College Residence Hall,German Restaurant,Gym Pool,Lake,Office,Shoe Store,Wine Shop,Art Museum
117,MIGUEL HERNANDEZ/1,Grocery Store,Pizza Place,Fast Food Restaurant,Coffe Shop,Fruit & Vegetable Store,Chinese Restaurant,Neighborhood,Kebab Restaurant,Miscellaneous Shop,Building
118,MIRASIERRA/9A,Convenience Store,Coffe Shop,Grocery Store,Gym,Seafood Restaurant,Sports Club,Neighborhood,Miscellaneous Shop,Building,Paper / Office Supplies Store
119,MONCLOA/3,Restaurant,Tapas Restaurant,Coffe Shop,Bar,Ice Cream Shop,Pizza Place,Sandwich Place,Japanese Restaurant,Italian Restaurant,Korean Restaurant
120,MONTECARMELO/10B,Supermarket,Deli / Bodega,Asian Restaurant,Restaurant,Park,Athletics & Sports,Burger Joint,Wine Shop,Pet Store,Diner
121,NOVICIADO/2,Coffe Shop,Hotel,Restaurant,Bar,Theater,Cocktail Bar,Argentinian Restaurant,Hostel,Bookstore,Chinese Restaurant
122,NUEVA NUMANCIA/1,Burger Joint,Bakery,Pizza Place,Supermarket,Pub,BBQ Joint,Sandwich Place,Brewery,Ice Cream Shop,Snack Place
123,NUEVOS MINISTERIOS/10A,Restaurant,Tapas Restaurant,Clothing Store,Coffe Shop,Bar,Burger Joint,Japanese Restaurant,Italian Restaurant,Bakery,Snack Place
124,NUÑEZ DE BALBOA/5,Restaurant,Boutique,Coffe Shop,Tapas Restaurant,Japanese Restaurant,Mediterranean Restaurant,Seafood Restaurant,Bakery,Bistro,Furniture / Home Store
125,O'DONNELL/6,Restaurant,Tapas Restaurant,Coffe Shop,Bar,Bakery,Grocery Store,Gym,Seafood Restaurant,Ice Cream Shop,Cocktail Bar
126,OPAÑEL/6,Bar,Restaurant,Colombian Restaurant,Grocery Store,Gym,Supermarket,Nightclub,Plaza,Bakery,Burger Joint
127,OPERA/2,Restaurant,Plaza,Hotel,Tapas Restaurant,Ice Cream Shop,Coffe Shop,Bar,Bookstore,Gourmet Shop,Hostel
128,OPORTO/5,Coffe Shop,Concert Hall,Nightclub,Supermarket,Brewery,Rock Club,Plaza,Fast Food Restaurant,Kebab Restaurant,Bar
129,PACIFICO/1,Restaurant,Coffe Shop,Bar,Tapas Restaurant,Grocery Store,Gym,Pizza Place,Athletics & Sports,Food & Drink Shop,Bakery
130,PACO DE LUCIA/9A,Restaurant,Bar,Supermarket,Playground,Tennis Court,Tennis Stadium,Burger Joint,Deli / Bodega,Gym,Tapas Restaurant
131,PALOS DE LA FRONTERA/3,Restaurant,Bakery,Coffe Shop,Tapas Restaurant,Grocery Store,Gym,Sandwich Place,Bookstore,Arepa Restaurant,Beer Garden
132,PARQUE DE LAS AVENIDAS/7A,Restaurant,Park,Hotel,Bar,Grocery Store,Soccer Field,Pool Hall,Coffe Shop,Bakery,Fast Food Restaurant
133,PARQUE DE SANTA MARIA/4,Tapas Restaurant,Park,Coffe Shop,Gourmet Shop,Supermarket,Brewery,Wine Shop,Miscellaneous Shop,Building,Paper / Office Supplies Store
134,PAVONES/9A,Restaurant,Breakfast Spot,Tea Room,Grocery Store,Athletics & Sports,Pharmacy,Diner,German Restaurant,Building,Paper / Office Supplies Store
